gene_symbol	ATC1	ATC2	ATC3	PTC1	PTC2	PTC3
A1BG	154	497	81	169	181	214
A1CF	9	1	0	0	2	1
A2BP1	0	0	0	0	1	1
A2LD1	68	271	52	147	241	120
A2ML1	2	0	0	1	1	3
A2M	4	0	0	1	9	8
A4GALT	88	670	95	380	466	1823
A4GNT	1	0	0	21	0	7
AAA1	0	1	0	0	1	0
AAAS	2022	1189	1178	1858	1392	1609
AACSL	1	6	0	0	0	0
AACS	1219	901	1623	2069	898	1075
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	5	0	0	0	0
AADAC	279	0	0	0	0	0
AADAT	179	518	451	208	225	389
AAGAB	1535	2828	1981	1697	1560	1212
AAK1	1958	1497	2689	1913	1980	2340
AAMP	4702	4522	2946	3245	2821	2987
AANAT	3	11	3	2	1	3
AARS2	926	597	734	1050	1249	928
AARSD1	473	1002	768	659	822	753
AARS	7485	12069	8710	9387	2747	2893
AASDHPPT	1758	3561	2678	2479	1983	1723
AASDH	222	589	512	543	522	471
AASS	654	1674	1158	1537	852	549
AATF	2801	3453	2126	2371	1344	1993
AATK	10	11	11	13	17	8
ABAT	59	166	216	1286	1296	100
ABCA10	98	91	20	7	49	7
ABCA11P	136	220	143	262	169	217
ABCA12	2	1	4	19	339	40
ABCA13	74	221	8	4	117	43
ABCA17P	13	1	1	29	18	3
ABCA1	9702	1218	4761	2098	2764	4966
ABCA2	460	1200	1500	2547	3359	4233
ABCA3	1992	1032	3	1943	263	1261
ABCA4	7	44	82	21	319	95
ABCA5	55	270	309	338	513	240
ABCA6	11	9	4	2	11	6
ABCA7	331	804	630	1536	1876	349
ABCA8	43	50	0	132	8	33
ABCA9	8	4	8	0	47	2
ABCB10	1283	923	606	970	1032	915
ABCB11	17	0	0	1	0	0
ABCB1	196	793	6	388	75	175
ABCB4	3	6	1	3	6	191
ABCB5	0	0	0	49	11	0
ABCB6	909	718	1485	367	578	677
ABCB7	944	1143	631	759	1103	825
ABCB8	1514	983	1175	2090	1382	1099
ABCB9	304	106	334	285	581	443
ABCC10	1256	468	856	466	981	682
ABCC11	4	2	0	5	1	1
ABCC12	2	1	2	1	0	0
ABCC13	0	0	0	0	0	0
ABCC1	2908	3162	11613	8071	9874	5652
ABCC2	275	57	87	14	51	9
ABCC3	41	1437	16154	7560	8712	8351
ABCC4	1215	769	3587	1324	1201	1158
ABCC5	5302	841	1317	1414	866	567
ABCC6P1	14	2	17	1	55	14
ABCC6P2	9	12	13	12	55	21
ABCC6	16	24	153	130	113	131
ABCC8	0	0	0	0	0	0
ABCC9	487	1892	574	2	8	0
ABCD1	820	385	664	581	935	986
ABCD2	11	7	13	2	4	1
ABCD3	2334	2647	2134	1765	2306	1524
ABCD4	895	682	808	1138	582	1198
ABCE1	6848	9027	6598	4469	3751	3036
ABCF1	4797	2631	2177	3010	3341	2122
ABCF2	4728	4112	3170	4980	2710	2033
ABCF3	3044	1775	1849	1776	1789	1375
ABCG1	19	0	0	171	594	221
ABCG2	10	778	398	54	166	426
ABCG4	5	24	2	21	52	9
ABCG5	1	0	0	0	0	1
ABCG8	0	0	0	0	0	0
ABHD10	2005	1998	1190	843	1489	1058
ABHD11	526	955	512	721	486	450
ABHD12B	5	1	2	2	7	8
ABHD12	1655	2491	1175	6222	2613	2987
ABHD13	865	713	1252	1062	753	656
ABHD14A	217	623	456	226	662	344
ABHD14B	2475	4223	2161	2706	3883	1865
ABHD15	233	1143	552	637	643	628
ABHD1	6	0	3	12	10	1
ABHD2	6600	11646	15521	11180	5866	13888
ABHD3	652	570	497	405	430	280
ABHD4	1172	2760	4405	3336	1467	1665
ABHD5	1255	2383	1323	2072	1905	844
ABHD6	166	576	422	258	252	217
ABHD8	1206	2032	814	879	1143	1256
ABI1	3058	2248	2876	2556	1812	2704
ABI2	4968	5940	3429	4609	3928	4990
ABI3BP	890	3053	82	4500	4869	2990
ABI3	1	3	1	2	3	1
ABL1	6968	7198	7457	10329	7233	10095
ABL2	10090	4388	2288	3827	3046	3954
ABLIM1	1814	2	420	6191	5361	4310
ABLIM2	3	3	99	68	48	33
ABLIM3	65	2644	6522	887	10	1844
ABO	2	0	0	11	3	0
ABP1	0	0	0	1	2	3
ABRA	0	1	1	0	0	0
ABR	2830	8591	6376	4704	7085	5982
ABT1	1804	546	756	786	727	607
ABTB1	744	580	367	794	412	738
ABTB2	676	3325	4402	2316	1552	1625
ACAA1	616	1080	1708	1669	1376	1214
ACAA2	1184	855	7	1294	1774	2236
ACACA	2026	5159	3178	3315	2034	2494
ACACB	1787	337	370	599	301	409
ACAD10	556	611	827	1461	685	759
ACAD11	1100	663	1177	673	923	822
ACAD8	286	727	731	931	368	573
ACAD9	1467	1895	1203	1714	1459	1570
ACADL	0	1	16	7	43	30
ACADM	2720	1282	2527	1462	1132	1250
ACADSB	1661	991	764	904	681	835
ACADS	134	152	279	544	428	358
ACADVL	3970	4059	6500	10838	12385	12724
ACAN	1	0	0	0	0	0
ACAP1	16	11	4	25	25	23
ACAP2	4773	2827	4371	2827	2593	2770
ACAP3	735	1622	2352	1448	1495	1237
ACAT1	1167	2066	1350	1675	1772	1682
ACAT2	298	1614	342	679	398	590
ACBD3	5324	2871	2809	2602	5293	2812
ACBD4	98	410	196	616	316	486
ACBD5	1528	1702	1455	1704	1831	1708
ACBD6	1507	1642	1150	1368	2369	1189
ACBD7	272	87	60	250	234	379
ACCN1	0	0	0	76	84	82
ACCN2	190	452	309	660	330	162
ACCN3	35	40	34	72	48	14
ACCN4	0	5	1	7	1	1
ACCN5	1	0	2	0	1	0
ACCSL	0	0	0	0	0	0
ACCS	159	161	392	357	126	405
ACD	834	2583	705	682	253	658
ACE2	4	1	0	6	23	0
ACER1	1	0	3	0	0	1
ACER2	119	62	87	125	117	139
ACER3	1340	2124	1766	557	646	815
ACE	3	5	1	5	27	45
ACHE	175	8	0	92	10	6
ACIN1	6539	4488	5404	5817	4914	4916
ACLY	2	20217	10744	7483	7352	5778
ACMSD	2	0	0	0	3	0
ACN9	453	895	482	269	147	233
ACO1	1155	3858	5680	2761	2902	1562
ACO2	3621	3372	2913	1856	5083	3876
ACOT11	119	20	12	22	80	155
ACOT12	2	1	9	0	0	0
ACOT13	1882	415	1246	772	1149	545
ACOT1	214	260	158	242	132	80
ACOT2	1619	2242	607	979	1078	1261
ACOT4	11	10	11	78	9	11
ACOT6	0	2	0	0	0	1
ACOT7	6205	3752	2903	1155	1616	2392
ACOT8	496	887	385	1014	591	416
ACOT9	2427	2722	776	1608	1589	1386
ACOX1	1914	1335	877	1476	1208	1298
ACOX2	222	83	112	95	585	582
ACOX3	327	744	772	761	644	627
ACOXL	0	0	1	12	1	1
ACP1	4133	2047	3792	2614	2707	1984
ACP2	643	1524	1598	1031	1254	1168
ACP5	0	22	5	2	4	13
ACP6	489	384	94	643	471	687
ACPL2	854	2872	494	367	1019	838
ACPP	30	0	1	12	23	13
ACPT	0	0	0	0	0	1
ACRBP	9	11	4	25	4	25
ACRC	107	53	76	32	46	52
ACRV1	8	7	4	2	0	6
ACR	2	0	1	6	2	3
ACSBG1	0	3	7	6	14	7
ACSBG2	0	2	0	1	1	1
ACSF2	1280	1006	699	1229	1877	1162
ACSF3	804	837	545	764	258	554
ACSL1	1086	3544	2127	1528	755	1223
ACSL3	4729	1697	3412	2649	3582	2156
ACSL4	4843	10118	4955	5269	3903	4994
ACSL5	625	156	1348	730	764	555
ACSL6	1	1	9	44	2	1
ACSM1	0	0	0	2	6	0
ACSM2A	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0
ACSM3	28	4	45	157	140	135
ACSM4	0	0	0	0	0	0
ACSM5	0	2	1	7	109	0
ACSS1	237	178	136	843	398	136
ACSS2	4728	830	740	1892	781	697
ACSS3	743	165	681	429	41	609
ACTA1	0	3	0	1	1	0
ACTA2	157	323	1301	1947	1828	978
ACTBL2	0	764	20	826	231	111
ACTB	109059	210680	120712	146770	178013	158356
ACTC1	2	1	0	4	8	4
ACTG1	117478	273022	78832	117757	208837	188652
ACTG2	2	0	8	4	25	6
ACTL6A	6200	3265	1591	1787	1692	2047
ACTL6B	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0
ACTL7B	1	0	0	0	0	0
ACTL8	10	1	0	1	0	0
ACTL9	0	0	0	0	0	0
ACTN1	11631	42520	21424	16487	23163	22214
ACTN2	48	14	5	7	8	1
ACTN3	1	3	0	0	6	1
ACTN4	37781	47013	40122	34707	26598	34854
ACTR10	2790	3671	2604	2438	1927	1925
ACTR1A	4086	7648	4560	4931	4663	4363
ACTR1B	1005	1289	1712	2191	2589	3199
ACTR2	11694	14916	20838	12541	15042	12344
ACTR3B	394	210	380	399	171	190
ACTR3C	1	0	2	75	6	10
ACTR3	13451	9781	18628	7415	11585	8926
ACTR5	415	479	201	504	225	125
ACTR6	1079	606	732	967	782	715
ACTR8	682	1278	1207	1391	931	975
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACVR1B	1165	896	777	1224	721	621
ACVR1C	40	60	158	10	35	13
ACVR1	1946	833	3155	1919	1496	1979
ACVR2A	318	237	571	465	316	392
ACVR2B	124	203	138	442	354	526
ACVRL1	9	1	15	5	17	19
ACY1	680	926	1134	1403	1084	1205
ACY3	3	0	0	0	0	1
ACYP1	296	927	241	113	276	256
ACYP2	270	149	356	206	272	168
ADAD1	0	0	0	0	0	0
ADAD2	0	0	0	0	3	1
ADAL	423	558	637	578	482	286
ADAM10	5327	6437	4805	12010	10998	9258
ADAM11	61	112	11	56	15	15
ADAM12	44	6715	11700	10561	2889	4099
ADAM15	2957	1722	2550	3672	5384	5737
ADAM17	1718	1905	3208	2330	1613	1894
ADAM18	0	0	0	0	0	0
ADAM19	11514	8495	4035	1566	2128	4337
ADAM20	0	2	1	2	2	0
ADAM21P1	4	1	5	7	6	0
ADAM21	16	13	25	52	78	11
ADAM22	415	354	384	255	407	150
ADAM23	871	340	915	39	8	72
ADAM28	4	0	2	2	22	1
ADAM29	0	1	0	0	6	0
ADAM2	0	0	0	0	1	0
ADAM30	0	0	0	0	0	0
ADAM32	14	21	10	6	14	7
ADAM33	5	4	90	10	0	97
ADAM3A	0	0	0	0	0	0
ADAM5P	0	1	1	0	0	0
ADAM6	0	0	0	0	0	0
ADAM7	0	0	0	0	1	0
ADAM8	24	28	2078	52	248	303
ADAM9	18403	15094	19988	15493	22551	18387
ADAMDEC1	0	0	0	0	0	0
ADAMTS10	186	1	0	132	45	334
ADAMTS12	1688	5428	3917	3551	4832	3119
ADAMTS13	66	15	48	564	175	136
ADAMTS14	833	13625	3223	829	1140	910
ADAMTS15	28	35	171	2622	2228	1067
ADAMTS16	393	381	220	3	137	2
ADAMTS17	178	12	4	57	24	57
ADAMTS18	327	12	0	3	5	4
ADAMTS19	14	8	2	0	32	5
ADAMTS1	4144	43691	8962	10083	6079	6269
ADAMTS20	1	1	0	0	1	0
ADAMTS2	3	86	338	2786	5	6
ADAMTS3	1084	359	299	715	1315	493
ADAMTS4	5652	0	0	0	4	3
ADAMTS5	41	3053	4885	33294	8937	5124
ADAMTS6	916	1584	702	590	37	97
ADAMTS7	55	30	1659	690	829	622
ADAMTS8	2	0	2	2	1	1
ADAMTS9	18	105	675	381	4270	591
ADAMTSL1	11566	10526	6088	179	641	1744
ADAMTSL2	0	0	0	0	0	0
ADAMTSL3	3701	0	2	1028	1363	223
ADAMTSL4	354	47	10	667	298	868
ADAMTSL5	108	364	711	449	229	147
ADAP1	24	8	2	322	58	16
ADAP2	7	4	18	16	16	9
ADARB1	325	1013	736	1411	850	548
ADARB2	0	0	0	0	0	0
ADAR	27326	20507	9349	11583	16196	9305
ADAT1	765	1266	861	1106	358	659
ADAT2	319	236	298	158	197	174
ADAT3	246	256	36	77	87	59
ADA	817	181	54	1732	340	366
ADCK1	485	381	308	335	192	161
ADCK2	420	713	390	1355	773	806
ADCK4	978	573	528	895	565	746
ADCK5	199	240	283	253	183	176
ADCY10	3	6	5	1	5	2
ADCY1	146	1	1296	388	287	258
ADCY2	0	0	20	1	15	0
ADCY3	792	2204	404	818	224	738
ADCY4	1	0	0	1	16	2
ADCY5	14	12	8	26	57	5
ADCY6	1681	1947	2613	4438	3139	3234
ADCY7	1507	2637	1273	553	1304	1698
ADCY8	3	10	10	0	8	35
ADCY9	609	2904	3542	5232	4166	4215
ADCYAP1R1	2	1	9	0	22	4
ADCYAP1	2	1	0	1	0	0
ADC	313	226	221	514	286	304
ADD1	3610	13068	7577	10079	8043	9510
ADD2	1544	0	0	60	25	10
ADD3	1030	1246	308	2304	3340	1891
ADH1A	0	0	1	0	0	0
ADH1B	0	0	0	1	0	0
ADH1C	0	6	4	4	5	4
ADH4	0	0	0	0	0	0
ADH5	3503	10589	6500	5097	4459	4738
ADH6	0	3	2	0	0	1
ADH7	0	0	0	0	0	0
ADHFE1	21	10	91	90	108	222
ADI1	5610	2247	2088	1723	2149	1954
ADIG	1	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0
ADIPOR1	6389	3671	3115	2999	5968	3514
ADIPOR2	4533	8627	2958	4750	2808	2441
ADK	3852	4787	1336	1077	975	1677
ADM2	1232	37	35	50	102	113
ADM	1194	1074	3968	110	1119	53
ADNP2	1068	1710	1331	1291	1778	1542
ADNP	6511	5220	4707	7398	4802	4608
ADORA1	9	2	638	1271	1476	1026
ADORA2A	73	66	6	14	14	26
ADORA2B	133	1063	446	269	728	634
